id,title_cue,theme
1,"AI See What You Did There -- The Prevalence of LLM-Generated Answers in MOOC Responses","LLM-assisted learning / teaching"
2,"A watch your replay videos Reflection Assignment on Comparing Programming without versus with Generative AI","LLM-assisted learning / teaching"
3,"Creating Exercises with Generative AI for Teaching Introductory Secure Programming","LLM code/content generation, explanation, grading, and detection"
4,"CS Teaching Assistant Perceptions on LLM-Generated Faded Worked Examples for Feedback Training","LLM-assisted learning / teaching"
5,"Deriving Instructional Insights from Human-LLM Co-Evaluation of Student Collaboration","LLM-assisted learning / teaching"
6,"Exploring Student Choice and the Use of Multimodal Generative AI in Programming Learning","LLM-assisted learning / teaching"
7,"Fighting Fire with Fire: LLM-Assisted Grading of Handwritten CS Assessments","LLM-assisted learning / teaching"
8,"Fine-Tuning Open-Source Models as a Viable Alternative to Proprietary LLMs for Explaining Compiler Messages","LLM code/content generation, explanation, grading, and detection"
9,"Improving LLM-Generated Educational Content: Generating Programming Problems for Data Science","LLM code/content generation, explanation, grading, and detection"
10,"LLM-Based Explainable Detection of LLM-Generated Code in Python Programming Courses","LLM code/content generation, explanation, grading, and detection"
11,"Owlgorithm: Supporting Self-Regulated Learning in Competitive Programming through LLM-Driven Reflection","LLM-assisted learning / teaching"
12,"Pacing for Mastery: Optimizing LLM Interactions for Learning","Prompt engineering and literacy"
13,"Scaffolding genAI for Critical Reflection: A Transformative Approach to Diverging Assessments in IT Forensics","AI ethics and responsible use"
14,"Supporting Peer-to-Peer Learning with LLMs: Investigating Smarter Student Solution Recommendations","LLM-assisted learning / teaching"
15,"Talking to Our Students about Generative AI","AI ethics and responsible use"
16,"Think Like AI: Hands-On Exploration of Sampling Parameters and Prompts for Middle School Students' Generative AI Literacy","Prompt engineering and literacy"
17,"You Don't Need a Data Center to Explain in Plain English! Comparing Open-Source and Proprietary LLMs for EiPE Grading","LLM code/content generation, explanation, grading, and detection"
